;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;;;;;;;;;;;;;;;;;;;;;;0.0593;0.0590;5.0000
Albania;;;;;;0.2012;0.2133;0.2095;0.2085;0.2222;0.2301;0.2521;0.2825;0.2530;0.2524;0.2798;0.2924;0.2894;0.2892;0.2821;0.2727;0.2898;0.3156;5.0000
Angola;0.8565;0.8369;0.8173;0.7976;0.7777;0.8969;0.7539;0.5708;0.5432;0.5838;0.6553;0.6347;0.6791;0.7248;0.5876;0.6154;0.6067;0.5594;0.5075;0.4470;0.2975;0.2812;0.2900;5.0000
Antigua and Barbuda;0.6957;0.6352;0.6513;0.6401;0.6171;0.5624;0.5562;0.5252;0.5407;0.5807;0.5334;0.4738;0.4433;0.4570;0.4587;0.4545;0.4709;0.4485;0.4573;0.4631;0.4431;0.4157;0.4157;5.0000
Argentina;0.0968;0.1043;0.1056;0.1042;0.0983;0.1099;0.1158;0.2838;0.2593;0.2385;0.2325;0.2303;0.2266;0.2206;0.1956;0.1893;0.1845;0.1624;0.1462;0.1441;0.1071;0.1253;0.1124;5.0000
Armenia;;;;;;;;;0.3215;0.2973;0.2881;0.2336;0.1919;0.1505;0.1547;0.2083;0.2376;0.2757;0.2836;0.2857;0.2973;0.3315;0.3733;5.0000
Australia;0.1792;0.1894;0.1917;0.1960;0.1834;0.1943;0.2223;0.2077;0.1910;0.1720;0.1827;0.1989;0.2020;0.2016;0.2300;0.1981;0.2144;0.2148;0.1996;0.2104;0.1999;0.1923;0.2118;5.0000
Austria;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Bahrain;0.8199;0.8791;0.7908;0.6460;0.7887;0.7918;0.7361;0.7222;0.7206;0.7861;0.8389;0.8464;0.7968;0.8258;0.6847;0.6954;0.9942;1.0215;1.0481;0.9605;0.8242;0.7374;0.7544;5.0000
Bangladesh;0.1086;0.0971;0.1052;0.1176;0.1176;0.1234;0.1339;0.1241;0.1143;0.1115;0.1439;0.1635;0.1700;0.1766;0.1694;0.1602;0.1992;0.2016;0.1954;0.1899;0.1734;0.1665;0.1504;5.0000
Barbados;0.4593;0.4703;0.4557;0.4155;0.4085;0.4238;0.4016;0.3821;0.4210;0.4086;0.4392;0.4642;0.4375;0.4371;0.4252;0.3893;0.3791;0.3890;0.4150;0.4078;0.3523;0.3641;0.3798;5.0000
Belgium;;;;;;;;;;;;;;;;;;;;;;;;5.0000
Belize;0.4796;0.5000;0.5278;0.5258;0.5432;0.5297;0.5087;0.5256;0.5319;0.5056;0.5466;0.6113;0.6109;0.6237;0.5169;0.5823;0.6153;0.6277;0.6418;0.6121;0.5752;0.5168;0.5421;5.0000
Benin;0.2737;0.2650;0.2718;0.2709;0.2369;0.2114;0.2035;0.2019;0.1898;0.1882;0.1893;0.1853;0.2259;0.2285;0.2037;0.2379;0.2122;0.2302;0.2726;0.3133;0.2444;0.2483;0.2729;5.0000
Bolivia;0.2255;0.2258;0.2111;0.1970;0.1688;0.1827;0.1997;0.2163;0.2560;0.3114;0.3555;0.4177;0.4180;0.4491;0.3572;0.4119;0.4409;0.4717;0.4409;0.4329;0.3087;0.2449;0.2490;5.0000
Botswana;0.5084;0.5383;0.6088;0.4929;0.5520;0.5183;0.4866;0.5216;0.4883;0.4961;0.5292;0.5225;0.5452;0.4567;0.3480;0.4364;0.4995;0.4925;0.6151;0.6071;0.5303;0.4976;0.3997;5.0000
Brazil;0.0753;0.0673;0.0698;0.0703;0.0956;0.1019;0.1237;0.1423;0.1518;0.1655;0.1524;0.1437;0.1333;0.1353;0.1085;0.1087;0.1158;0.1188;0.1174;0.1101;0.1290;0.1247;0.1257;5.0000
Brunei Darussalam;0.5972;0.5993;0.5719;0.5047;0.5582;0.6735;0.6953;0.6712;0.6929;0.6880;0.7017;0.7172;0.6785;0.7830;0.7278;0.6741;0.6951;0.7016;0.6804;0.6872;0.5221;0.4958;0.4957;5.0000
Bulgaria;;0.4893;0.5004;0.4219;0.4305;0.3647;0.3515;0.3391;0.3468;0.4127;0.4286;0.4732;;;;;;;;;;;;5.0000
Burkina Faso;0.1414;0.1056;0.1081;0.1281;0.0952;0.0953;0.0924;0.0918;0.0871;0.1133;0.0974;0.1158;0.1055;0.0997;0.1270;0.1923;0.2500;0.2552;0.2228;0.2226;0.2295;0.2597;0.2599;5.0000
Burundi;0.1293;0.0582;0.0984;0.0800;0.0758;0.0632;0.0518;0.0469;0.0638;0.0695;0.0620;0.0730;0.0680;0.1050;0.0660;0.0970;0.0880;0.0970;0.0910;0.0870;0.0642;0.0641;0.0641;5.0000
Cambodia;;;;;;;;;;0.6361;0.6408;0.6859;0.6533;0.6554;0.4922;0.5408;0.5408;0.5789;0.6239;0.6260;0.6172;0.6128;0.6068;5.0000
Cameroon;0.2064;0.2326;0.2488;0.2255;0.2005;0.2591;0.2584;0.2430;0.2093;0.2271;0.2460;0.2564;0.2889;0.2906;0.2140;0.2217;0.2593;0.2612;0.2557;0.2494;0.2226;0.1924;0.1858;5.0000
Canada;0.3617;0.3718;0.3822;0.4012;0.4195;0.4431;0.4211;0.4011;0.3691;0.3736;0.3687;0.3539;0.3421;0.3438;0.2849;0.2913;0.3062;0.3028;0.3023;0.3160;0.3168;0.3125;0.3110;5.0000
Cape Verde;;;;;;;;;;;;;;0.3690;0.3108;0.3267;0.3552;0.4043;0.4049;0.4036;0.4491;0.4423;0.4614;5.0000
Central African Republic;0.2222;0.2147;0.2688;0.2266;0.1922;0.2037;0.1716;0.1596;0.1824;0.1400;0.1336;0.1432;0.1412;0.1100;0.0984;0.1163;0.1313;0.1155;0.1489;0.1657;0.1693;0.1434;0.1519;5.0000
