;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Afghanistan;;;;;;;;;;;;;;;;;;;;;;19362642266.65;20191764940.16;1.0000
Albania;;;;;;3480355188.60;3922099470.97;4348070165.19;5611492282.87;7184681398.57;8052075642.11;8896073938.31;10677321490.38;12881353507.85;12044208085.86;11926953213.70;12890866742.65;12319784886.20;12776280961.16;13228247844.12;11386931489.80;11861352704.87;13025062195.79;1.0000
Angola;5538749259.95;7526446605.52;7648377412.83;6506229607.29;6152922942.98;9129594818.61;8936063723.20;15285594828.42;17812705294.33;23552052407.55;36970918699.25;52381006892.04;65266452081.39;88538611205.14;70307163678.24;83799496611.20;111789686464.44;128052853643.11;136709862831.19;145712200312.51;116193649124.15;101123851090.46;122123822333.59;1.0000
Antigua and Barbuda;577280740.74;633730629.63;680617111.11;727860592.59;766198925.93;830158777.78;800740259.26;814615333.33;855643111.11;919577148.15;1022191296.30;1157005444.44;1311401333.33;1368431037.04;1224253000.00;1152469074.07;1142042925.93;1211411703.70;1192919629.63;1275576777.78;1359194740.74;1464630213.33;1510084750.74;1.0000
Argentina;258031750000.00;272149750000.00;292859000000.00;298948250000.00;283523000000.00;284203750000.00;268696750000.00;97724004251.86;127586973492.18;164657930452.79;198737095012.28;232557260817.31;287530508430.57;361558037110.42;332976484577.62;423627422092.49;530163281574.66;545982375701.13;552025140252.25;526319673731.64;594749285413.21;557531376217.97;642695864756.35;1.0000
Armenia;;;;;;;;;2807061008.69;3576615240.42;4900469950.09;6384451606.14;9206301700.40;11662040713.88;8647936747.99;9260284937.80;10142111334.50;10619320048.59;11121465767.41;11609512939.75;10553337672.99;10546135160.03;11527458565.73;1.0000
Australia;367216364716.37;400302731411.23;434568007512.91;398899138574.24;388608221581.65;415222633925.77;378376086723.19;394648911678.53;466488060570.76;612490396927.02;693407758231.85;746054207846.66;853099630996.31;1053995523724.26;927805183330.88;1146138465603.81;1396649906339.35;1546151783872.96;1576184467015.49;1467483705131.74;1351520093185.79;1210028388411.70;1330803227996.08;1.0000
Austria;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Bahrain;5849467819.15;6101861436.17;6349202393.62;6183776595.74;6621010372.34;9062906914.89;8976207712.77;9632155053.19;11074822074.47;13150166755.32;15968726861.70;18505053191.49;21730000000.00;25710877659.57;22938218085.11;25713271276.60;28776595744.68;30749308510.64;32539547872.34;33387712765.96;31125851063.83;32250132978.72;35432686170.21;1.0000
Bangladesh;37939748768.66;46438484107.58;48244309133.49;49984559471.37;51270569883.53;53369787318.62;53991289844.33;54724081490.51;60158929188.26;65108544250.04;69442943089.43;71819083683.74;79611888213.15;91631278239.32;102477791472.39;115279077465.23;128637938711.39;133355749482.48;149990451022.29;172885454931.45;195078678697.23;221415188000.48;249723862487.36;1.0000
Barbados;2261969870.23;2411872918.01;2549296474.92;2874459304.93;3012081738.18;3121500000.00;3116650000.00;3169600000.00;3274850000.00;3514350000.00;3897300000.00;4176500000.00;4672250000.00;4782000000.00;4479950000.00;4529900000.00;4660900000.00;4656350000.00;4612500000.00;4608350000.00;4584150000.00;4529050000.00;4673500000.00;1.0000
Belgium;;;;;;;;;;;;;;;;;;;;;;;;1.0000
Belize;620140400.00;641383800.00;654314350.00;688992450.00;732732350.00;832072450.00;871860600.00;932551850.00;990374050.00;1057845500.00;1114202700.00;1217442150.00;1290542550.00;1368625150.00;1335217500.00;1396731700.00;1486595750.00;1563827850.00;1608442150.00;1692955750.00;1762500450.00;1806646250.00;1862614800.00;1.0000
